x_cm,phi_g1,phi_g2,phi_g3,phi_g4
7.850000000000000000e+01,1.525814985978096875e+14,6.594791973959568750e+13,4.144354850601807031e+13,4.612062564853250781e+13
7.900000000000000000e+01,1.503369280591907500e+14,6.503064150454417969e+13,4.084701919129501562e+13,4.498657282805508594e+13
7.950000000000000000e+01,1.480792422560672500e+14,6.410850453713446094e+13,4.023998026765542188e+13,4.371610038754800000e+13
8.000000000000000000e+01,1.458180225633863125e+14,6.318323224630810156e+13,3.962166566831271875e+13,4.227419644247578906e+13
8.050000000000000000e+01,1.435562093024510938e+14,6.225332302479477344e+13,3.899411041773975000e+13,4.082178411449678906e+13
8.100000000000000000e+01,1.412930274498736875e+14,6.132391737549964844e+13,3.837849109412021094e+13,3.957743469980031250e+13
8.150000000000000000e+01,1.390386341173666875e+14,6.039660516220619531e+13,3.777345070181943750e+13,3.849403868569544531e+13
8.200000000000000000e+01,1.368004931137915625e+14,5.947290044237341406e+13,3.717797059901900781e+13,3.753549305907376562e+13
8.250000000000000000e+01,1.345840274777851250e+14,5.855419825982104688e+13,3.659130099850599219e+13,3.667413621352900000e+13
8.300000000000000000e+01,1.323931176665633125e+14,5.764175198326990625e+13,3.601290233948161719e+13,3.588878037147767188e+13
8.350000000000000000e+01,1.302304815114233594e+14,5.673666467013546094e+13,3.544239665724944531e+13,3.516320197946912109e+13
8.400000000000000000e+01,1.280979636366190938e+14,5.583988973308905469e+13,3.487952785210243750e+13,3.448498326943746094e+13
8.450000000000000000e+01,1.259967555855263906e+14,5.495223752231414062e+13,3.432412968682588281e+13,3.384462319234646094e+13
8.500000000000000000e+01,1.239275629478162812e+14,5.407438542364807812e+13,3.377610036561553906e+13,3.323485505487520703e+13
8.550000000000000000e+01,1.218907319828852969e+14,5.320688979873526562e+13,3.323538262598272266e+13,3.265012281912012500e+13
8.600000000000000000e+01,1.198863453195479688e+14,5.235019862364910156e+13,3.270194838261736328e+13,3.208617922231685547e+13
8.650000000000000000e+01,1.179142940743077188e+14,5.150466406682350781e+13,3.217578708069869141e+13,3.153977744825162500e+13
8.700000000000000000e+01,1.159743320128157344e+14,5.067055452305586719e+13,3.165689703474141797e+13,3.100843465204608203e+13
8.750000000000000000e+01,1.140661160606110156e+14,4.984806581601038281e+13,3.114527914114644922e+13,3.049025067668898828e+13
8.800000000000000000e+01,1.121892364572295312e+14,4.903733141826262500e+13,3.064093245460226953e+13,2.998376916290450781e+13
8.850000000000000000e+01,1.103432390712143125e+14,4.823843163135510938e+13,3.014385120876339453e+13,2.948787121856230859e+13
8.900000000000000000e+01,1.085276417978387812e+14,4.745140173044145312e+13,2.965402293989448828e+13,2.900169408995301953e+13
8.950000000000000000e+01,1.067419465045879375e+14,4.667623911769296094e+13,2.917142743887513672e+13,2.852456902554279688e+13
9.000000000000000000e+01,1.049856476394074219e+14,4.591290955226261719e+13,2.869603631301751953e+13,2.805597386623889453e+13
9.050000000000000000e+01,1.032582383486929062e+14,4.516135253705222656e+13,2.822781298567624219e+13,2.759549692888278125e+13
9.100000000000000000e+01,1.015592147469381562e+14,4.442148594733139062e+13,2.776671299982413281e+13,2.714280954376885156e+13
9.150000000000000000e+01,9.988807882325020312e+13,4.369320998596632031e+13,2.731268452279576562e+13,2.669764521775074609e+13
9.200000000000000000e+01,9.824434035035148438e+13,4.297641054647136719e+13,2.686566897436121875e+13,2.625978386436250000e+13
9.250000000000000000e+01,9.662751807056573438e+13,4.227096205960336719e+13,2.642560172017764453e+13,2.582903990389626562e+13
9.300000000000000000e+01,9.503714036397729688e+13,4.157672989269328906e+13,2.599241278834862891e+13,2.540525331454135938e+13
9.350000000000000000e+01,9.347274555136835938e+13,4.089357236397707031e+13,2.556602757906400000e+13,2.498828292971094141e+13
9.400000000000000000e+01,9.193388194472701562e+13,4.022134242727008594e+13,2.514636754674105078e+13,2.457800144132748438e+13
9.450000000000000000e+01,9.042010772808539062e+13,3.955988907569117188e+13,2.473335084129014453e+13,2.417429169546784766e+13
9.500000000000000000e+01,8.893099072885796875e+13,3.890905850694750781e+13,2.432689290053777344e+13,2.377704396412295312e+13
9.550000000000000000e+01,8.746610812293925000e+13,3.826869508702543750e+13,2.392690698983476562e+13,2.338615395163407422e+13
9.600000000000000000e+01,8.602504610422040625e+13,3.763864214402871094e+13,2.353330468776376953e+13,2.300152135181443750e+13
9.650000000000000000e+01,8.460739953984860938e+13,3.701874261936693750e+13,2.314599631888783984e+13,2.262304881583850391e+13
9.700000000000000000e+01,8.321277162569467188e+13,3.640883959949779688e+13,2.276489133585201953e+13,2.225064122476449219e+13
9.750000000000000000e+01,8.184077355148407812e+13,3.580877674793502344e+13,2.238989865402103906e+13,2.188420518641585156e+13
9.800000000000000000e+01,8.049102418144737500e+13,3.521839865420550781e+13,2.202092694233743359e+13,2.152364869611537500e+13
9.850000000000000000e+01,7.916314975376715625e+13,3.463755111382678906e+13,2.165788487431270312e+13,2.116888091584819141e+13
9.900000000000000000e+01,7.785678360031625000e+13,3.406608135113782422e+13,2.130068134309841016e+13,2.081981203791630469e+13
9.950000000000000000e+01,7.657156588694504688e+13,3.350383819490402344e+13,2.094922564448420703e+13,2.047635320787095703e+13
1.000000000000000000e+02,7.530714337377814062e+13,3.295067221499291797e+13,2.060342763147863281e+13,2.013841648811842188e+13
1.005000000000000000e+02,7.406316919446321875e+13,3.240643582703987500e+13,2.026319784388288672e+13,1.980591484858341016e+13
1.010000000000000000e+02,7.283930265302967188e+13,3.187098337086314062e+13,1.992844761599233984e+13,1.947876217456623828e+13
1.015000000000000000e+02,7.163520903686854688e+13,3.134417116740846484e+13,1.959908916527105469e+13,1.915687328473857422e+13
