x_cm,phi_g1,phi_g2,phi_g3,phi_g4
8.750000000000000000e+01,8.845230902372909375e+13,3.829547007149471875e+13,2.418113793455119531e+13,2.792163778554865625e+13
8.800000000000000000e+01,8.874885083214160938e+13,3.842385799120349219e+13,2.426220668732459375e+13,2.801524679422094922e+13
8.850000000000000000e+01,8.904110051776759375e+13,3.855038763427124219e+13,2.434210205735362109e+13,2.810750091347268750e+13
8.900000000000000000e+01,8.932904394666040625e+13,3.867505288139876562e+13,2.442082018069253516e+13,2.819839568165712109e+13
8.950000000000000000e+01,8.961266719313492188e+13,3.879784770345401562e+13,2.449835725033031250e+13,2.828792670286936719e+13
9.000000000000000000e+01,8.989195654044115625e+13,3.891876616176339062e+13,2.457470951637474609e+13,2.837608964715873438e+13
9.050000000000000000e+01,9.016689848142768750e+13,3.903780240839912500e+13,2.464987328623373828e+13,2.846288025073835547e+13
9.100000000000000000e+01,9.043747971919470312e+13,3.915495068646207031e+13,2.472384492479400000e+13,2.854829431619131250e+13
9.150000000000000000e+01,9.070368716773743750e+13,3.927020533036003125e+13,2.479662085459669531e+13,2.863232771267355469e+13
9.200000000000000000e+01,9.096550795257868750e+13,3.938356076608185156e+13,2.486819755601063281e+13,2.871497637611375391e+13
9.250000000000000000e+01,9.122292941139159375e+13,3.949501151146704688e+13,2.493857156740231250e+13,2.879623630940989453e+13
9.300000000000000000e+01,9.147593909461203125e+13,3.960455217647071094e+13,2.500773948530349219e+13,2.887610358262250391e+13
9.350000000000000000e+01,9.172452476604073438e+13,3.971217746342450781e+13,2.507569796457564844e+13,2.895457433316467188e+13
9.400000000000000000e+01,9.196867440343500000e+13,3.981788216729262500e+13,2.514244371857187891e+13,2.903164476598902344e+13
9.450000000000000000e+01,9.220837619909018750e+13,3.992166117592353906e+13,2.520797351929576172e+13,2.910731115377108984e+13
9.500000000000000000e+01,9.244361856041050000e+13,4.002350947029737500e+13,2.527228419755753125e+13,2.918156983708965625e+13
9.550000000000000000e+01,9.267439011047029688e+13,4.012342212476857031e+13,2.533537264312728125e+13,2.925441722460373438e+13
9.600000000000000000e+01,9.290067968856342188e+13,4.022139430730408594e+13,2.539723580488544141e+13,2.932584979322616797e+13
9.650000000000000000e+01,9.312247635074368750e+13,4.031742127971705469e+13,2.545787069097039062e+13,2.939586408829416016e+13
9.700000000000000000e+01,9.333976937035384375e+13,4.041149839789602344e+13,2.551727436892296875e+13,2.946445672373625781e+13
9.750000000000000000e+01,9.355254823854434375e+13,4.050362111202946875e+13,2.557544396582845312e+13,2.953162438223606250e+13
9.800000000000000000e+01,9.376080266478150000e+13,4.059378496682589844e+13,2.563237666845546875e+13,2.959736381539283594e+13
9.850000000000000000e+01,9.396452257734550000e+13,4.068198560172927344e+13,2.568806972339202734e+13,2.966167184387838672e+13
9.900000000000000000e+01,9.416369812381725000e+13,4.076821875112998438e+13,2.574252043717870312e+13,2.972454535759099609e+13
9.950000000000000000e+01,9.435831967155462500e+13,4.085248024457102344e+13,2.579572617643882422e+13,2.978598131580578906e+13
1.000000000000000000e+02,9.454837780815895312e+13,4.093476600694975781e+13,2.584768436800599219e+13,2.984597674732171875e+13
1.005000000000000000e+02,9.473386334192970312e+13,4.101507205871496875e+13,2.589839249904835547e+13,2.990452875060533203e+13
1.010000000000000000e+02,9.491476730230910938e+13,4.109339451605938281e+13,2.594784811719016797e+13,2.996163449393113672e+13
1.015000000000000000e+02,9.509108094031623438e+13,4.116972959110742188e+13,2.599604883063054297e+13,3.001729121551836719e+13
1.020000000000000000e+02,9.526279572896981250e+13,4.124407359209840625e+13,2.604299230825891406e+13,3.007149622366482812e+13
1.025000000000000000e+02,9.542990336370082812e+13,4.131642292356520312e+13,2.608867627976793750e+13,3.012424689687683984e+13
1.030000000000000000e+02,9.559239576275407812e+13,4.138677408650796875e+13,2.613309853576319531e+13,3.017554068399608984e+13
1.035000000000000000e+02,9.575026506757912500e+13,4.145512367856342969e+13,2.617625692787007812e+13,3.022537510432303125e+13
1.040000000000000000e+02,9.590350364321014062e+13,4.152146839416942188e+13,2.621814936883767188e+13,3.027374774773692188e+13
1.045000000000000000e+02,9.605210407863520312e+13,4.158580502472487500e+13,2.625877383263981641e+13,3.032065627481221094e+13
1.050000000000000000e+02,9.619605918715498438e+13,4.164813045874466406e+13,2.629812835457281641e+13,3.036609841693184375e+13
1.055000000000000000e+02,9.633536200673000000e+13,4.170844168201052344e+13,2.633621103135077734e+13,3.041007197639691406e+13
1.060000000000000000e+02,9.647000580031746875e+13,4.176673577771646875e+13,2.637302002119742969e+13,3.045257482653291016e+13
1.065000000000000000e+02,9.659998405619712500e+13,4.182300992661003906e+13,2.640855354393537891e+13,3.049360491179268359e+13
1.070000000000000000e+02,9.672529048828589062e+13,4.187726140712860938e+13,2.644280988107194922e+13,3.053316024785568750e+13
1.075000000000000000e+02,9.684591903644245312e+13,4.192948759553097656e+13,2.647578737588259766e+13,3.057123892172409766e+13
1.080000000000000000e+02,9.696186386675978125e+13,4.197968596602430469e+13,2.650748443349076172e+13,3.060783909181526953e+13
1.085000000000000000e+02,9.707311937184760938e+13,4.202785409088620312e+13,2.653789952094521484e+13,3.064295898805082031e+13
1.090000000000000000e+02,9.717968017110334375e+13,4.207398964058221094e+13,2.656703116729407031e+13,3.067659691194218359e+13
1.095000000000000000e+02,9.728154111097260938e+13,4.211809038387848438e+13,2.659487796365595312e+13,3.070875123667280078e+13
1.100000000000000000e+02,9.737869726519828125e+13,4.216015418794953906e+13,2.662143856328807422e+13,3.073942040717681250e+13
1.105000000000000000e+02,9.747114393505845312e+13,4.220017901848161719e+13,2.664671168165158594e+13,3.076860294021419531e+13
1.110000000000000000e+02,9.755887664959470312e+13,4.223816293977089844e+13,2.667069609647341016e+13,3.079629742444258594e+13
1.115000000000000000e+02,9.764189116582707812e+13,4.227410411481724219e+13,2.669339064780550781e+13,3.082250252048542969e+13
1.120000000000000000e+02,9.772018346895981250e+13,4.230800080541289844e+13,2.671479423808100781e+13,3.084721696099687891e+13
1.125000000000000000e+02,9.779374977257576562e+13,4.233985137222671875e+13,2.673490583216722656e+13,3.087043955072303125e+13
1.130000000000000000e+02,9.786258651881934375e+13,4.236965427488333594e+13,2.675372445741570703e+13,3.089216916655962500e+13
1.135000000000000000e+02,9.792669037856817188e+13,4.239740807203771094e+13,2.677124920370930078e+13,3.091240475760657812e+13
1.140000000000000000e+02,9.798605825159465625e+13,4.242311142144475781e+13,2.678747922350621094e+13,3.093114534521860156e+13
1.145000000000000000e+02,9.804068726671598438e+13,4.244676308002438281e+13,2.680241373188090234e+13,3.094839002305268750e+13
1.150000000000000000e+02,9.809057478193207812e+13,4.246836190392152344e+13,2.681605200656209375e+13,3.096413795711183984e+13
