x_cm,phi_g1,phi_g2,phi_g3,phi_g4
4.150000000000000000e+01,1.276650678667108906e+14,5.438873959424551562e+13,3.398235219221805859e+13,3.894001952829817188e+13
4.200000000000000000e+01,1.276982866044207188e+14,5.440322688540903906e+13,3.399179018410563281e+13,3.895113263374493750e+13
4.250000000000000000e+01,1.276645119615661875e+14,5.438916494844810938e+13,3.398338151318084766e+13,3.894179457578975000e+13
4.300000000000000000e+01,1.275637439285835625e+14,5.434657050997733594e+13,3.395714771119283203e+13,3.891202889566765625e+13
4.350000000000000000e+01,1.273960175012711875e+14,5.427547552021795312e+13,3.391311977631448828e+13,3.886186974733146875e+13
4.400000000000000000e+01,1.271614022092855625e+14,5.417592762794099219e+13,3.385133866359729297e+13,3.879136180019154688e+13
4.450000000000000000e+01,1.268600016206563906e+14,5.404799067582810156e+13,3.377185577755366406e+13,3.870056008093914844e+13
4.500000000000000000e+01,1.264919528303484375e+14,5.389174523663862500e+13,3.367473347544137500e+13,3.858952970979775000e+13
4.550000000000000000e+01,1.260574259224310625e+14,5.370728921175111719e+13,3.356004558921105859e+13,3.845834547928296875e+13
4.600000000000000000e+01,1.255566234156448906e+14,5.349473851596182812e+13,3.342787797324557031e+13,3.830709121252899219e+13
4.650000000000000000e+01,1.249897796954917344e+14,5.325422787502608594e+13,3.327832908386938281e+13,3.813585882283092188e+13
4.700000000000000000e+01,1.243571604457040000e+14,5.298591176591756250e+13,3.311151059501819531e+13,3.794474697539705469e+13
4.750000000000000000e+01,1.236590620929415781e+14,5.268996553387883594e+13,3.292754805227319922e+13,3.773385922523819531e+13
4.800000000000000000e+01,1.228958112944744688e+14,5.236658672538462500e+13,3.272658156448040625e+13,3.750330147013463281e+13
4.850000000000000000e+01,1.220677645055691094e+14,5.201599668185022656e+13,3.250876652812926953e+13,3.725317851276900781e+13
4.900000000000000000e+01,1.211753076774695469e+14,5.163844244552517188e+13,3.227427437423482031e+13,3.698358946892346875e+13
4.950000000000000000e+01,1.202188561603211875e+14,5.123419903655177344e+13,3.202329332024877344e+13,3.669462168597119531e+13
5.000000000000000000e+01,1.191988549098511250e+14,5.080357216848446094e+13,3.175602910000916797e+13,3.638634274378786719e+13
5.050000000000000000e+01,1.181157791283488438e+14,5.034690147864929688e+13,3.147270563230641016e+13,3.605878999366671875e+13
5.100000000000000000e+01,1.169701355160802031e+14,4.986456435951360938e+13,3.117356557252980859e+13,3.571195694355101562e+13
